File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations,Severity,FY Number
"Orange Stripe#92-FY25-CPP, TSM-English.pdf",FY-25,Orange Stripe,92/FY-25,19-02-2025 Time: 12:50 PM,12:50 PM,"Intermediate Silo-165MW, Ash Handling Department (AHD)","Captive Power Plant (CPP), TSM",,LTI of a contract employee,Fracture in left hand ring finger,Contractor,M/s Lucky Mineral Private Limited,4 Star,"Yellow Risk (C3, L4)",70 days,Yes,,,,LTI,2025.0
"Orange Stripe#92-FY25-CPP, TSM-English.pdf",FY-25,Orange Stripe,92/FY-25,,,,,,,,,,,,,,,1. Standard Operating Procedure (SOP) for the job was available but was not being followed the procedure. 2. Chain Block test certificate was available. 3. Guide rope was not used at the time of truss member hoisting. 4. Housekeeping of the incident site was found poor.,"1. At least two guide ropes should be used to stabilize the truss during lifting to prevent twisting or unexpected movement. 2. Workers should maintain a safe distance from suspended loads, and a designated spotter should oversee the lifting process.",LTI,2025.0
"Orange Stripe#92-FY25-CPP, TSM-Odia.pdf",FY-25,Orange Stripe,,୧୯-୦୨-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe#94-FY25-C BF Operations TSJ-Odia.pdf,FY-25,Orange Stripe,,୨୫-୦୨-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#94-FY25-C BF, Operations TSJ-English.pdf",FY-25,Orange Stripe,94/FY-25,25-02-2025 Time: 09:01 AM,09:01 AM,Tuyere platform,Operations TSJ,C-Blast Furnace,LTI of a company employee,Superficial burn injury on right side of cheek bone area,Company,,,"Yellow Risk (C3, L4)",436 days,Yes,,,,LTI,2025.0
"Orange Stripe#94-FY25-C BF, Operations TSJ-English.pdf",FY-25,Orange Stripe,94/FY-25,,,,,,,,,,,,,,,1. Inspection of Tuyere lance is done manually to check lance conditions to avoid blow pipe bursting cases due to lance failures as per the Standard Operating Procedure (SOP). 2. IP opened the manual valve after placing his head in front of peephole. This was the violation of SOP.,"1. Safety shields or barriers should be installed around equipment that may release hot blasts during inspection processes to protect workers from exposure. 2. Routine inspections should be conducted of all equipment, including peephole glass and check nuts, to identify any signs of wear or loosenes",LTI,2025.0
RED Stripe#4-FY25-HSM TSM-English.pdf,FY-25,Red Stripe,04/FY25,24.02.25 Time: 5:20 a.m.,5:20,"Cut to Length line (CTL) -2, Stacker Box-1",Hot Strip Mill (HSM),Finishing Line,Fatal accident of Tata Steel Technical Services Limited,Abdominal injury,Contractor,,,,,,"Mr Abdul Rauf was engaged at CTL-2 (cut to length line) for supervising the stacker operation and fixing of stickers on ready sheet packets kept nearby. At about 5.20 a.m., the line operator (contract employee) found Mr Rauf unconscious and bleeding. Mr Rauf was immediately taken to Occupational Hea",,,Fatal,2025.0
Red Stripe#5-FY25- EP TSK-English.pdf,FY-25,Red Stripe,05/FY25,24/02/2025 Time: Around 10:40,10:40 pm,"Primary Dust Catcher, CDQ-3 (Coke Dry Quenching)","Coke Plant Project, Tata Steel Kalinganagar",,Fatal accident of an employee of sub vendor of M/s Larsen & Toubro (L&T),Injury on chest,,,,,,,"Mr. Yogesh Rajbhar was engaged at CDQ-3 (+22.00 meters platform) for alignment work of primary dust catcher cooling pipe. At around 10.40 pm, while positioning the pipe, it swung and hit his chest. He was rescued by his colleagues and taken to Plant First Aid Center and then referred to Tata Medica",,,Fatal,2025.0
Orange Stripe#90-FY25-ISWP-Odia.pdf,FY-25,Orange Stripe,,୦୮-୦୨-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe#90-FY25-ISWP-English.pdf,FY-25,Orange Stripe,90/FY-25,08-02-2025 Time: 04:13 PM,04:13 PM,Near the payoff stand of Machine-1,"Wire Rod Mill, Wire Division Jamshedpur",,LTI of a contract employee,Blunt trauma in right leg heel,Contractor,M/S Sai Enterprises,3 Star,"Yellow Risk (C3, L4)",189 days,Yes,,,,LTI,2025.0
Orange Stripe#90-FY25-ISWP-English.pdf,FY-25,Orange Stripe,90/FY-25,,,,,,,,,,,,,,,"1. The coil stacking area was congested, which may have limited visibility and maneuvering space for both the forklift operator and the IP. 2. Although a rear camera was installed on the forklift but was not functioning on the day of event. 3. IP was unaware of the risks associated with forklift mov","1. Coil stacking arrangements should be optimized to create more space for safe movement of workers and vehicles. 2. Regular inspection and maintenance of the forklift’s rear camera, mirror, audible alarm should be done. 3. Periodic training should be conducted for workers on risk perception, hazard",LTI,2025.0
"Orange Stripe#89-FY25-LDP, TSMD-Odia.pdf",FY-25,Orange Stripe,,୧୧-୦୨-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#89-FY25-LDP, TSMD-English.pdf",FY-25,Orange Stripe,89/FY-25,11-02-2025 Time: 12:50 PM,12:50 PM,Runner maintenance area,"LDP Mould Shop, DIP",,LTI of a contract employee,Lacerated injury in left hand middle and ring fingers,Contractor,Alok Bhattacharjee,3 Star,"Yellow Risk (C3, L4)",87 days,No,,,,LTI,2025.0
"Orange Stripe#89-FY25-LDP, TSMD-English.pdf",FY-25,Orange Stripe,89/FY-25,,,,,,,,,,,,,,,"1. Two other runners were kept at the side of the runner, which was under repairing. 2. Standard Operating Procedure (SOP) was available for the runner maintenance job, but it was found inadequate. 3. Potential hazards were not identified in the SOP. 4. Illumination was found good at the site.",1. Suitable tools and tackles should be used to rotate the runner instead of manual intervention. 2. Only single runner should be kept on the one stand. 3. Workspace should be well-organized to minimize the hazards.,LTI,2025.0
"Orange Stripe#88-FY25-BF 2, TSK-Odia.pdf",FY-25,Orange Stripe,,,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#88-FY25-BF 2, TSK-English.pdf",FY-25,Orange Stripe,88/FY-25,08-02-2025 Time: 5:50PM,5:50PM,"Near dry pit-2, slag divergent junction, Cast House-2","Blast Furnace-2, TSK",,LTI of a contract employee,Burn injury,Contractor,Vesuvius India Ltd,4 Star,"Yellow Risk (C3, L4)",,No,,,,LTI,2025.0
"Orange Stripe#88-FY25-BF 2, TSK-English.pdf",FY-25,Orange Stripe,88/FY-25,,,,,,,,,,,,,,,"1. Slag flow was observed to be higher than normal in the Blow Box -3 from running tap hole 3. 2. As per SOP, work in the vicinity of diamond crossing junction and Blow Box is restricted when slag runner in operation, but it was being violated.",1. During slag granulation running condition no work should be permitted in slag divergent junction area.,LTI,2025.0
"Orange Stripe#87-FY25-OMQ, RM-English.pdf",FY-25,Orange Stripe,87/FY-25,08-02-2025 Time: 12:35 PM,12:35 PM,Fines Conveyor-13 (FC-13),"Wet & Dry Processing Plant, Noamundi Iron Mines",,LTI of a company employee,Right hand fingertip crushed,Company,,,"Yellow Risk (C3, L4)",667 days,No,,,,LTI,2025.0
"Orange Stripe#87-FY25-OMQ, RM-English.pdf",FY-25,Orange Stripe,87/FY-25,,,,,,,,,,,,,,,1. Proper Positive isolation was taken for the conveyor FC-13. 2. Lifting the pulley shaft with manila rope was a violation of the SOP. 3. Chain block was used for lifting the conveyors’ Gravity Take-up Pulley only.,1. A Chain Block should be used to lift the pulley shaft or heavy materials instead of rope. 2. A wedge should be used to isolate the potential energy wherever necessary. 3. Kiken Yochi Training (KYT) should be practiced enhancing hazard perception among both employees and contractors.,LTI,2025.0
"Orange Stripe#87-FY25-OMQ, RM-Odia.pdf",FY-25,Orange Stripe,,୦୮-୦୨-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
Orange Stripe#83-FY25-Khopoli TSM-English.pdf,FY-25,Orange Stripe,83/FY-25,16-01-2025 Time: 00:20 AM,00:20 AM,Visual and Dimensional Inspection Mill -1,LDP Quality Assurance,,LTI of a contract (Subsidiary) employee,Fracture and cut injury in left elbow,,,,"Yellow Risk (C4, L3)",,Yes,,,,LTI,2025.0
Orange Stripe#83-FY25-Khopoli TSM-English.pdf,FY-25,Orange Stripe,83/FY-25,,,,,,,,,,,,,,,1. Standard Operating Procedure was violated by the IP. He should not perform the inspection activity of the tube placed on the conveyor belt. 2. Communication gap was found between the IP and the conveyor operator.,"1. All inspection or maintenance activities should be performed only at the designated area. 2. If an activity or inspection has to be done as per the SOP in an area where moving machines are present, all energy sources should be isolated.",LTI,2025.0
Orange Stripe#83-FY25-Khopoli TSM-Odia.pdf,FY-25,Orange Stripe,,୧୬-୦୧-୧୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
